name,b,bi,bdt,bdti,h,hi,hdt,hdti,class,type,issniper,isbolt,isdw,firetype,clipsize,maxammo,,,
t8_hades_up,4367,6550.5,17468,26202,21839,32758.5,87356,131034,mg,bullet,0,0,single,Full Auto,195,780,3,52404,262068
t8_gks_up,2826,4239,11304,16956,11304,16956,45216,67824,smg,bullet,0,0,single,Full Auto,57,513,3,33912,135648
t8_zweihander_up,17349,26023.5,69396,104094,28915,43372.5,115660,173490,spread,bullet,0,0,single,Full Auto,300,900,0.36,24982.56,41637.6
t8_essex_m07_up,1440,2160,5760,8640,2160,3240,8640,12960,rifle,bullet,0,1,single,Burst,30,240,4,23040,34560
t8_escargot_up,3999,5998.5,15996,23994,12000,18000,48000,72000,smg,bullet,0,0,single,Full Auto,60,420,1.6,25593.6,76800
t8_cordite_up,3733,5599.5,14932,22398,11200,16800,44800,67200,smg,bullet,0,0,single,Full Auto,120,720,2,29864,89600
t8_auger_dmr_up,23040,34560,92160,138240,26880,40320,107520,161280,rifle,bullet,0,0,single,Single Shot,30,210,0.25,23040,26880
t8_abr223_up,4843,7264.5,19372,29058,24218,36327,96872,145308,rifle,bullet,0,0,single,Auto Burst,45,450,1.3,25183.6,125933.6
,,,22400,,,,66672,,,,,,,,,,,25996.8,73041
,,,,,,,,,,,,,,,,,,8183.169777,
