a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,u20,v21,w22,x23,y24
126,0,0,global,MISSION_INFECTION_UNTOUCHED,ACCOLADES_INF_0,,Unlock Token,ACCOLADES_INF_0_COMPLETE,,,,,,,,,,,,,,,,
127,0,0,global,MISSION_INFECTION_SCORE,ACCOLADES_INF_1,,Unlock Token,ACCOLADES_INF_1_COMPLETE,,,,,,,,,,,,,,,,
128,0,0,global,MISSION_INFECTION_COLLECTIBLE,ACCOLADES_INF_2,,Unlock Token,ACCOLADES_INF_2_COMPLETE,,,,,,,,,,,,,,,,
129,0,0,global,MISSION_INFECTION_CHALLENGE3,ACCOLADES_INF_3,250,,ACCOLADES_INF_3_COMPLETE,,,,,,,,,,,,,,,,
130,0,0,global,MISSION_INFECTION_CHALLENGE4,ACCOLADES_INF_4,500,,ACCOLADES_INF_4_COMPLETE,,,,,,,,,,,,,,,,
131,0,0,global,MISSION_INFECTION_HATTRICK,ACCOLADES_INF_5,250,,ACCOLADES_INF_5_COMPLETE,,,,,,,,,,,,,,,,
132,0,0,global,MISSION_INFECTION_CHALLENGE6,ACCOLADES_INF_6,250,,ACCOLADES_INF_6_COMPLETE,,,,,,,,,,,,,,,,
133,0,0,global,MISSION_INFECTION_CHALLENGE7,ACCOLADES_INF_7,250,,ACCOLADES_INF_7_COMPLETE,,,,,,,,,,,,,,,,
134,0,0,global,MISSION_INFECTION_CHALLENGE8,ACCOLADES_INF_8,,,ACCOLADES_INF_8_COMPLETE,,,,,,,,,,,,,,,,
135,0,0,global,MISSION_INFECTION_CHALLENGE9,ACCOLADES_INF_9,,Unlock Token,ACCOLADES_INF_9_COMPLETE,,,,,,,,,,,,,,,,
136,0,0,global,MISSION_INFECTION_CHALLENGE10,ACCOLADES_INF_10,1000,,ACCOLADES_INF_10_COMPLETE,,,,,,,,,,,,,,,,
137,0,0,global,MISSION_INFECTION_CHALLENGE11,ACCOLADES_INF_11,250,,ACCOLADES_INF_11_COMPLETE,,,,,,,,,,,,,,,,
138,0,0,global,MISSION_INFECTION_CHALLENGE12,ACCOLADES_INF_12,1000,,ACCOLADES_INF_12_COMPLETE,,,,,,,,,,,,,,,,
139,0,0,global,MISSION_INFECTION_CHALLENGE13,ACCOLADES_INF_13,500,,ACCOLADES_INF_13_COMPLETE,,,,,,,,,,,,,,,,
140,0,0,global,MISSION_INFECTION_CHALLENGE14,ACCOLADES_INF_14,500,,ACCOLADES_INF_14_COMPLETE,,,,,,,,,,,,,,,,
141,0,0,global,MISSION_INFECTION_CHALLENGE15,ACCOLADES_INF_15,250,,ACCOLADES_INF_15_COMPLETE,,,,,,,,,,,,,,,,
142,0,0,global,MISSION_INFECTION_CHALLENGE16,ACCOLADES_INF_16,500,,ACCOLADES_INF_16_COMPLETE,,,,,,,,,,,,,,,,
143,0,0,global,MISSION_INFECTION_CHALLENGE17,ACCOLADES_INF_17,500,,ACCOLADES_INF_17_COMPLETE,,,,,,,,,,,,,,,,
144,0,0,global,MISSION_INFECTION_CHALLENGE18,ACCOLADES_INF_18,250,,ACCOLADES_INF_18_COMPLETE,,,,,,,,,,,,,,,,
145,0,0,global,MISSION_LOTUS_UNTOUCHED,ACCOLADES_LOT_0,,Unlock Token,ACCOLADES_LOT_0_COMPLETE,,,,,,,,,,,,,,,,
146,0,0,global,MISSION_LOTUS_SCORE,ACCOLADES_LOT_1,,Unlock Token,ACCOLADES_LOT_1_COMPLETE,,,,,,,,,,,,,,,,
147,0,0,global,MISSION_LOTUS_COLLECTIBLE,ACCOLADES_LOT_2,,Unlock Token,ACCOLADES_LOT_2_COMPLETE,,,,,,,,,,,,,,,,
148,0,0,global,MISSION_LOTUS_CHALLENGE3,ACCOLADES_LOT_3,250,,ACCOLADES_LOT_3_COMPLETE,,,,,,,,,,,,,,,,
149,0,0,global,MISSION_LOTUS_CHALLENGE4,ACCOLADES_LOT_4,250,,ACCOLADES_LOT_4_COMPLETE,,,,,,,,,,,,,,,,
150,0,0,global,MISSION_LOTUS_CHALLENGE5,ACCOLADES_LOT_5,500,,ACCOLADES_LOT_5_COMPLETE,,,,,,,,,,,,,,,,
151,0,0,global,MISSION_LOTUS_CHALLENGE6,ACCOLADES_LOT_6,250,,ACCOLADES_LOT_6_COMPLETE,,,,,,,,,,,,,,,,
152,0,0,global,MISSION_LOTUS_CHALLENGE7,ACCOLADES_LOT_7,1000,,ACCOLADES_LOT_7_COMPLETE,,,,,,,,,,,,,,,,
153,0,0,global,MISSION_LOTUS_CHALLENGE8,ACCOLADES_LOT_8,500,,ACCOLADES_LOT_8_COMPLETE,,,,,,,,,,,,,,,,
154,0,0,global,MISSION_LOTUS_CHALLENGE9,ACCOLADES_LOT_9,250,,ACCOLADES_LOT_9_COMPLETE,,,,,,,,,,,,,,,,
155,0,0,global,MISSION_LOTUS_CHALLENGE10,ACCOLADES_LOT_10,250,,ACCOLADES_LOT_10_COMPLETE,,,,,,,,,,,,,,,,
156,0,0,global,MISSION_LOTUS_CHALLENGE11,ACCOLADES_LOT_11,500,,ACCOLADES_LOT_11_COMPLETE,,,,,,,,,,,,,,,,
157,0,0,global,MISSION_LOTUS_CHALLENGE12,ACCOLADES_LOT_12,500,,ACCOLADES_LOT_12_COMPLETE,,,,,,,,,,,,,,,,
158,0,0,global,MISSION_LOTUS_CHALLENGE13,ACCOLADES_LOT_13,1000,,ACCOLADES_LOT_13_COMPLETE,,,,,,,,,,,,,,,,
159,0,0,global,MISSION_LOTUS_CHALLENGE14,ACCOLADES_LOT_14,250,,ACCOLADES_LOT_14_COMPLETE,,,,,,,,,,,,,,,,
160,0,0,global,MISSION_LOTUS_CHALLENGE15,ACCOLADES_LOT_15,,Unlock Token,ACCOLADES_LOT_15_COMPLETE,,,,,,,,,,,,,,,,
161,0,0,global,MISSION_LOTUS_CHALLENGE16,ACCOLADES_LOT_16,,,ACCOLADES_LOT_16_COMPLETE,,,,,,,,,,,,,,,,
162,0,0,global,MISSION_LOTUS_CHALLENGE17,ACCOLADES_LOT_17,,,ACCOLADES_LOT_17_COMPLETE,,,,,,,,,,,,,,,,
163,0,0,global,MISSION_ZURICH_UNTOUCHED,ACCOLADES_ZUR_0,,Unlock Token,ACCOLADES_ZUR_0_COMPLETE,,,,,,,,,,,,,,,,
