a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,u20,v21,w22,x23
18,gunperk,mod,MPUI_GADGET_MOD1,gmod5,,cac_gmod5,MPUI_GMODS_STRINGS_IN_GDT_AU_GADGET,MPUI_GMODS_STRINGS_IN_GDT_AU_GADGET,gmod5,18,,,1,,,,,,0,,,,
19,gunperk,mod,MPUI_GMOD6,gmod6,,cac_mods_clan_tag,MPUI_GMOD6_DESC,MPUI_GMOD6_DESC,gmod6,19,,acog damage dualclip dualoptic dw dynzoom extbarrel extclip fastads fastreload fmj gl grip holo ir is mk mms  precision quickdraw rangefinder recon reddot reflex rf sf stackfire stalker steadyaim supply suppressed swayreduc tacknife vzoom notracer,0,,,,,,0,,,,
20,gunperk,mod,MPUI_GMOD7,gmod7,,cac_mods_kill_counter,MPUI_GMOD7_DESC,MPUI_GMOD7_DESC,gmod7,20,,acog damage dualclip dualoptic dw dynzoom extbarrel extclip fastads fastreload fmj gl grip holo ir is mk mms notracer precision quickdraw rangefinder recon reddot reflex rf sf stackfire stalker steadyaim supply suppressed swayreduc tacknife vzoom,0,,,,,,0,,,,
21,bottom,rig,MPUI_GRIP,grip,,cac_mods_foregrip,MPUI_GRIP_DESC,MPUI_GRIP_DESC,GRIP,21,,acog damage dualoptic extbarrel extclip fastreload fmj gl holo ir is mms  quickdraw rangefinder reddot reflex rf sf stackfire stalker steadyaim suppressed swayreduc tacknife vzoom dynzoom gmod6 gmod7,1,,,,,,0,,,,
22,top,optic,MPUI_HOLO,holo,,cac_mods_holographic,MPUI_HOLO_DESC,MPUI_HOLO_DESC,holo,22,,damage fastreload extbarrel extclip fastreload fmj gl grip  quickdraw rf sf stackfire stalker steadyaim suppressed gmod6 gmod7,1,,,,,,0,,,,
23,top,optic,MPUI_IR,ir,,cac_mods_dual_band,MPUI_IR_DESC,MPUI_IR_DESC,ir,23,,damage fastreload extbarrel extclip fastreload fmj gl grip  quickdraw rf sf stackfire stalker steadyaim suppressed gmod6 gmod7,1,,,,,,0,,,,
24,bottom,rig,MPUI_IS,is,,cac_mods_ironsight,MPUI_IS_DESC,MPUI_IS_DESC,is,24,,damage fastreload extbarrel extclip fastreload fmj gl grip  quickdraw rf sf stackfire stalker steadyaim suppressed gmod6 gmod7,1,,,,,,0,,,,
25,bottom,rig,MPUI_MK,mk,,cac_mods_trigger_group,MPUI_MK_DESC,MPUI_MK_DESC,MK,25,,gmod6 gmod7,-1,,,,,,0,,,,
26,top,optic,MPUI_MMS,mms,,cac_mods_mms,MPUI_MMS_DESC,MPUI_MMS_DESC,mms,26,,damage fastreload extbarrel extclip fastreload gl grip   quickdraw rf sf stackfire stalker steadyaim suppressed gmod6 gmod7,1,,,,,,0,,,,
27,top,optic,MPUI_NOTRACER,notracer,,cac_mods_tracerless_128,MPUI_NOTRACER_DESC,MPUI_NOTRACER_DESC,NOTRACER,27,,stackfire supply gmod6 gmod7,1,,,,,,0,,,,
28,rig,rig,MPUI_PRECISION,precision,,cac_mods_foregrip,MPUI_PRECISION_DESC,MPUI_PRECISION_DESC,PRECISION,28,,gmod6 gmod7,1,,,,,,0,,,,
29,rig,rig,MPUI_QUICKDRAW,quickdraw,,cac_mods_pistol_grip,MPUI_QUICKDRAW_DESC,MPUI_QUICKDRAW_DESC,QUICKDRAW,29,,acog damage dualoptic extbarrel extclip fastreload fmj gl grip holo ir is mms  rangefinder reddot reflex rf sf stackfire stalker steadyaim suppressed swayreduc tacknife vzoom dynzoom gmod6 gmod7,1,,,,,,0,,,,
30,top,optic,MPUI_RANGEFINDER,rangefinder,,cac_mods_rangefinder,MPUI_RANGEFINDER_DESC,MPUI_RANGEFINDER_DESC,RANGEFINDER,30,,damage fastreload extbarrel extclip fastreload fmj gl grip  quickdraw rf sf stackfire stalker steadyaim suppressed gmod6 gmod7,1,,,,,,0,,,,
31,rig,rig,MPUI_RECON,recon,,cac_mods_barrel_extend,MPUI_RECON_DESC,MPUI_RECON_DESC,RECON,31,,gmod6 gmod7,1,,,,,,0,,,,
32,top,optic,MPUI_REDDOT,reddot,,cac_mods_red_dot_tu,MPUI_REDDOT_DESC,MPUI_REDDOT_DESC,REDDOT,32,,damage fastreload extbarrel extclip fastreload fmj gl grip  quickdraw rf sf stackfire stalker steadyaim supply suppressed gmod6 gmod7,1,,,,,,0,,,,
33,top,optic,MPUI_REFLEX,reflex,,cac_mods_reflex,MPUI_REFLEX_DESC,MPUI_REFLEX_DESC,REFLEX,33,,damage fastreload extbarrel extclip fastreload fmj gl grip  quickdraw rf sf stackfire stalker steadyaim supply suppressed gmod6 gmod7,1,,,,,,0,,,,
34,muzzle,rig,MPUI_RF,rf,,cac_mods_rapid_fire,MPUI_RF_DESC,MPUI_RF_DESC,RF,34,,acog damage dualoptic extbarrel extclip fastreload fmj gl grip holo ir is mms  quickdraw rangefinder reddot reflex sf stackfire stalker steadyaim suppressed swayreduc tacknife vzoom dynzoom gmod6 gmod7,1,,,,,,0,,,,
35,bottom,rig,MPUI_SF,sf,,cac_mods_trigger_group,MPUI_SF_DESC,MPUI_SF_DESC,sf,35,,acog damage extbarrel extclip fastreload fmj grip holo ir is mms  quickdraw rangefinder reddot reflex rf stackfire stalker steadyaim suppressed swayreduc tacknife vzoom dynzoom gmod6 gmod7,1,,,,,,0,,,,
36,trigger,rig,MPUI_STACKFIRE,stackfire,,cac_mods_tribolt,MPUI_STACKFIRE_DESC,MPUI_STACKFIRE_DESC,STACKFIRE,36,,acog damage dualoptic extbarrel extclip fastreload fmj gl grip holo ir is mms notracer quickdraw rangefinder reddot reflex rf sf stalker steadyaim supply suppressed swayreduc tacknife vzoom dynzoom gmod6 gmod7,1,,,,,,0,,,,
37,gunperk,rig,MPUI_STALKER,stalker,,cac_mods_extended_stock,MPUI_STALKER_DESC,MPUI_STALKER_DESC,stalker,37,,acog damage dualoptic extbarrel extclip fastreload fmj gl grip holo ir is mms  quickdraw rangefinder reddot reflex rf sf stackfire steadyaim suppressed swayreduc tacknife vzoom dynzoom gmod6 gmod7,1,,,,,,0,,,,
38,gunperk,rig,MPUI_STEADYAIM,steadyaim,,cac_mods_laser,MPUI_STEADYAIM_DESC,MPUI_STEADYAIM_DESC,steadyaim,38,,acog damage dualoptic extbarrel extclip fastreload fmj gl grip holo ir is mms  quickdraw rangefinder reddot reflex rf sf stackfire stalker suppressed swayreduc tacknife vzoom dynzoom gmod6 gmod7,1,,,,,,0,,,,
39,gunperk,rig,MPUI_SUPPLY,supply,,cac_mods_supply,MPUI_SUPPLY_DESC,MPUI_SUPPLY_DESC,SUPPLY,39,,gmod6 gmod7 reflex reddot notracer stackfire,1,,,,,,0,,,,
40,rig,rig,MPUI_SUPPRESSED,suppressed,,cac_mods_suppressor,MPUI_SUPPRESSED_DESC,CPUI_SUPPRESSED_DESC,SUPPRESSED,40,,acog damage dualoptic extbarrel extclip fastreload fmj gl grip holo ir is mms  quickdraw rangefinder reddot reflex rf sf stackfire stalker steadyaim swayreduc tacknife vzoom dynzoom gmod6 gmod7,1,,,,,,0,,,,
41,rig,rig,MPUI_SWAYREDUC,swayreduc,,cac_mods_bors,MPUI_SWAYREDUC_DESC,MPUI_SWAYREDUC_DESC,swayreduc,41,,damage extbarrel extclip fastreload fmj gl grip  quickdraw rf sf stackfire stalker steadyaim suppressed tacknife vzoom dynzoom gmod6 gmod7,1,,,,,,0,,,,
42,top,rig,MPUI_TACKNIFE,tacknife,,cac_mods_tact_knife,MPUI_TACKNIFE_DESC,MPUI_TACKNIFE_DESC,tacknife,42,,damage fastreload extbarrel extclip fastreload fmj gl grip   quickdraw rf sf stackfire stalker steadyaim suppressed swayreduc gmod6 gmod7,1,,,,,,0,,,,
43,top,optic,MPUI_VZOOM,vzoom,,cac_mods_var_zoom,MPUI_VZOOM_DESC,MPUI_VZOOM_DESC,VZOOM,43,,damage fastreload extbarrel extclip fastreload fmj gl grip   quickdraw rf sf stackfire stalker steadyaim suppressed swayreduc gmod6 gmod7,1,,,,,,0,,,,
0,camo,weaponoption,MPUI_NONE,camo_none,,menu_cac_none,MPUI_NONE,MPUI_NONE,,0,,,,,,1000,,,0,,,,
1,camo,weaponoption,MPUI_CAMO_JUNGLETEK,camo_jungletek,,menu_camo_jungletek_pattern,MPUI_CAMO_JUNGLETEK,MPUI_CAMO_JUNGLETEK,,0,,,,,,1000,,,0,mp,,,
2,camo,weaponoption,MPUI_CAMO_ASH,camo_ash,,menu_camo_ash_pattern,MPUI_CAMO_ASH,MPUI_CAMO_ASH,,0,,,,,,1000,,,0,mp,,,
3,camo,weaponoption,MPUI_CAMO_FLECTARN,camo_flectarn,,menu_camo_flectarn_pattern,MPUI_CAMO_FLECTARN,MPUI_CAMO_FLECTARN,,0,,,,,,1000,,,0,mp,,,
4,camo,weaponoption,MPUI_CAMO_HEATSTROKE,camo_heatstroke,,menu_camo_heatstroke_pattern,MPUI_CAMO_HEATSTROKE,MPUI_CAMO_HEATSTROKE,,0,,,,,,1000,,,0,mp,,,
5,camo,weaponoption,MPUI_CAMO_SNOWJOB,camo_snowjob,,menu_camo_snowjob_pattern,MPUI_CAMO_SNOWJOB,MPUI_CAMO_SNOWJOB,,0,,,,,,1000,,,0,mp,,,
6,camo,weaponoption,MPUI_CAMO_DANTE,camo_dante,,menu_camo_dante_pattern,MPUI_CAMO_DANTE,MPUI_CAMO_DANTE,,0,,,,,,1000,,,0,mp,,,
7,camo,weaponoption,MPUI_CAMO_INTEGER,camo_integer,,menu_camo_integer_pattern,MPUI_CAMO_INTEGER,MPUI_CAMO_INTEGER,,0,,,,,,1000,,,0,mp,,,
8,camo,weaponoption,MPUI_CAMO_6SPEED,camo_speed6,,menu_camo_speed6_pattern,MPUI_CAMO_6SPEED,MPUI_CAMO_6SPEED,,0,,,,,,1000,,,0,mp,,,
9,camo,weaponoption,MPUI_CAMO_INTERPOL,camo_interpol,,menu_camo_interpol_pattern,MPUI_CAMO_INTERPOL,MPUI_CAMO_INTERPOL,,0,,,,,,1000,,,0,mp,,,
10,camo,weaponoption,MPUI_CAMO_ARDENT,camo_ardent,,menu_camo_ardent_pattern,MPUI_CAMO_ARDENT,MPUI_CAMO_ARDENT,,0,,,,,,1000,,,0,mp,,,
11,camo,weaponoption,MPUI_CAMO_BURNT,camo_burnt,,menu_camo_burnt_pattern,MPUI_CAMO_BURNT,MPUI_CAMO_BURNT,,0,,,,,,1000,,,0,mp,,,
12,camo,weaponoption,MPUI_CAMO_BLISS,camo_bliss,,menu_camo_bliss_pattern,MPUI_CAMO_BLISS,MPUI_CAMO_BLISS,,0,,,,,,1000,,,0,mp,,,
13,camo,weaponoption,MPUI_CAMO_BATTLE,camo_artofwar_battle,,menu_camo_battle_pattern,MPUI_CAMO_BATTLE,MPUI_CAMO_BATTLE,,0,,,,,,1000,,,0,mp,,,
14,camo,weaponoption,MPUI_CAMO_CHAMELEON,camo_chameleon,,menu_camo_chameleon_pattern,MPUI_CAMO_CHAMELEON,MPUI_CAMO_CHAMELEON,,0,,,,,,1000,,,0,mp,,,
15,camo,weaponoption,MPUI_CAMO_GOLD,camo_gold,,menu_camo_gold_pattern,MPUI_CAMO_GOLD,MPUI_CAMO_GOLD,,0,,,,,,1000,,,0,mp,,,
16,camo,weaponoption,MPUI_CAMO_DIAMOND,camo_diamond,,menu_camo_diamond_pattern,MPUI_CAMO_DIAMOND,MPUI_CAMO_DIAMOND,,2,,,,,,0,,,0,mp,,,
17,camo,weaponoption,MPUI_CAMO_DARKMATTER,camo_darkmatter,,menu_camo_darkmatter_pattern,MPUI_CAMO_DARKMATTER,MPUI_CAMO_DARKMATTER,,0,,,,,,0,,,0,mp,,,
18,camo,weaponoption,MPUI_CAMO_ARCTIC,camo_arctic,,menu_camo_arctic_pattern,MPUI_CAMO_ARCTIC,MPUI_CAMO_ARCTIC,,2,,,,,,0,,,0,cp,,,
19,camo,weaponoption,MPUI_CAMO_JUNGLE,camo_jungle,,menu_camo_jungle_pattern,MPUI_CAMO_JUNGLE,MPUI_CAMO_JUNGLE,,0,,,,,,0,,,0,cp,,,
20,camo,weaponoption,MPUI_CAMO_HUNTSMAN,camo_hunstman,,menu_camo_huntsman_pattern,MPUI_CAMO_HUNTSMAN,MPUI_CAMO_HUNTSMAN,,0,,,,,,0,,,0,cp,,,
21,camo,weaponoption,MPUI_CAMO_WOODLUMS,camo_woodlums,,menu_camo_woodlums_pattern,MPUI_CAMO_WOODLUMS,MPUI_CAMO_WOODLUMS,,0,,,,,,0,,,0,cp,,,
22,camo,weaponoption,MPUI_CAMO_CONTAGIOUS,camo_contagious,,menu_camo_contagious_pattern,MPUI_CAMO_CONTAGIOUS,MPUI_CAMO_CONTAGIOUS,,0,,,,,,0,,,0,zm,,,
23,camo,weaponoption,MPUI_CAMO_FEAR,camo_fear,,menu_camo_fear_pattern,MPUI_CAMO_FEAR,MPUI_CAMO_FEAR,,0,,,,,,0,,,0,zm,,,
24,camo,weaponoption,MPUI_CAMO_WMD,camo_wmd,,menu_camo_wmd_pattern,MPUI_CAMO_WMD,MPUI_CAMO_WMD,,0,,,,,,0,,,0,zm,,,
25,camo,weaponoption,MPUI_CAMO_REDHEX,camo_redhex,,menu_camo_redhex_pattern,MPUI_CAMO_REDHEX,MPUI_CAMO_REDHEX,,0,,,,,,0,,,0,zm,,,
26,camo,weaponoption,MPUI_CAMO_ZOD_PAP,camo_zod_pap,,menu_camo_zod_pap_pattern,MPUI_CAMO_ZOD_PAP,MPUI_CAMO_ZOD_PAP,,0,,,,,,0,,,0,loot,,,
27,camo,weaponoption,MPUI_CAMO_CE_BO3,camo_ce_bo3,,menu_camo_ce_bo3_pattern,MPUI_CAMO_CE_BO3,MPUI_CAMO_CE_BO3,,0,,,,,,0,,,0,extras,bo3_personalization_pack,,
28,camo,weaponoption,MPUI_CAMO_CE_115,camo_ce_115,,menu_camo_ce_115_pattern,MPUI_CAMO_CE_115,MPUI_CAMO_CE_115,,0,,,,,,0,,,0,extras,ce_personalization_pack,,
29,camo,weaponoption,MPUI_CAMO_CE_CYBORG,camo_ce_cyborg,,menu_camo_ce_cyborg_pattern,MPUI_CAMO_CE_CYBORG,MPUI_CAMO_CE_CYBORG,,0,,,,,,0,,,0,extras,ce_personalization_pack,,
30,camo,weaponoption,MPUI_CAMO_LOYALTY,camo_loyalty,,menu_camo_loyalty_pattern,MPUI_CAMO_LOYALTY,MPUI_CAMO_LOYALTY,,0,,,,,,0,,,0,extras,loyalty_camo,,
31,camo,weaponoption,,camo_BGB31,,,,,,0,,,,,,0,,,0,extras,,,
32,camo,weaponoption,,camo_BGB32,,,,,,0,,,,,,0,,,0,extras,,,
33,camo,weaponoption,MPUI_CAMO_CJ_TAKE_OUT,camo_cj_take_out,,menu_camo_cj_take_out_pattern,MPUI_CAMO_CJ_TAKE_OUT,MPUI_CAMO_CJ_TAKE_OUT,,0,,,,,,0,,,0,extras,cj_camo,,
34,camo,weaponoption,,camo_urban,,,,,,0,,,,,,0,,,0,extras,,,
35,camo,weaponoption,MPUI_CAMO_NUKETOWN,camo_nuketown,,menu_camo_nuketown_pattern,MPUI_CAMO_NUKETOWN,MPUI_CAMO_NUKETOWN,,0,,,,,,0,,,0,extras,,,
36,camo,weaponoption,MPUI_CAMO_TRANSGRESSION,camo_transgression,,menu_camo_transgression_pattern,MPUI_CAMO_TRANSGRESSION,MPUI_CAMO_TRANSGRESSION,,0,,,,,,0,,,0,loot,,,
37,camo,weaponoption,,camo_BGB37,,,,,,0,,,,,,0,,,0,extras,,,
38,camo,weaponoption,MPUI_CAMO_STORM,camo_storm,,menu_camo_storm_pattern,MPUI_CAMO_STORM,MPUI_CAMO_STORM,,0,,,,,,0,,,0,loot,,,
39,camo,weaponoption,MPUI_CAMO_WARTORN,camo_wartorn,,menu_camo_wartorn_pattern,MPUI_CAMO_WARTORN,MPUI_CAMO_WARTORN,,0,,,,,,0,,,0,loot,,,
40,camo,weaponoption,MPUI_CAMO_PRESTIGE_EMISSIVE,camo_loot_prestige_emissive,,menu_camo_prestige_emissive_pattern,MPUI_CAMO_PRESTIGE_EMISSIVE,MPUI_CAMO_PRESTIGE_EMISSIVE,,0,,,,,,0,,,0,loot,,,
41,camo,weaponoption,,camo_mindful,,,,,,0,,,,,,0,,,0,extras,,,
42,camo,weaponoption,MPUI_CAMO_ETCHING,camo_etching,,menu_camo_etching_pattern,MPUI_CAMO_ETCHING,MPUI_CAMO_ETCHING,,0,,,,,,0,,,0,loot,,,
43,camo,weaponoption,MPUI_CAMO_ICE,camo_ice,,menu_camo_ice_pattern,MPUI_CAMO_ICE,MPUI_CAMO_ICE,,0,,,,,,0,,,0,loot,,,
44,camo,weaponoption,MPUI_CAMO_JUNGLE_EARTH,camo_loot_jungle_earth,,menu_camo_jungle_earth_pattern,MPUI_CAMO_JUNGLE_EARTH,MPUI_CAMO_JUNGLE_EARTH,,0,,,,,,0,,,0,loot,,,
45,camo,weaponoption,MPUI_CAMO_JUNGLE_CAT,camo_loot_jungle_cat,,menu_camo_jungle_cat_pattern,MPUI_CAMO_JUNGLE_CAT,MPUI_CAMO_JUNGLE_CAT,,0,,,,,,0,,,0,extras,amazon_camo,,
46,camo,weaponoption,MPUI_CAMO_JUNGLE_EMISSIVE,camo_loot_jungle_emissive,,menu_camo_jungle_emissive_pattern,MPUI_CAMO_JUNGLE_EMISSIVE,MPUI_CAMO_JUNGLE_EMISSIVE,,0,,,,,,0,,,0,loot,,,
47,camo,weaponoption,MPUI_CAMO_SCORCH_CONTRAST,camo_loot_scorch_contrast,,menu_camo_scorch_contrast_pattern,MPUI_CAMO_SCORCH_CONTRAST,MPUI_CAMO_SCORCH_CONTRAST,,0,,,,,,0,,,0,loot,,,
48,camo,weaponoption,MPUI_CAMO_SCORCH_GREEN,camo_loot_scorch_green,,menu_camo_scorch_green_pattern,MPUI_CAMO_SCORCH_GREEN,MPUI_CAMO_SCORCH_GREEN,,0,,,,,,0,,,0,loot,,,
49,camo,weaponoption,MPUI_CAMO_SCORCH_EMISSIVE,camo_loot_scorch_emissive,,menu_camo_scorch_emissive_pattern,MPUI_CAMO_SCORCH_EMISSIVE,MPUI_CAMO_SCORCH_EMISSIVE,,0,,,,,,0,,,0,loot,,,
50,camo,weaponoption,MPUI_CAMO_FLECKTARN_PURPLE,camo_loot_flecktarn_purple,,menu_camo_flecktarn_purple_pattern,MPUI_CAMO_FLECKTARN_PURPLE,MPUI_CAMO_FLECKTARN_PURPLE,,0,,,,,,0,,,0,loot,,,
51,camo,weaponoption,MPUI_CAMO_FLECKTARN_STEALTH,camo_loot_flecktarn_stealth,,menu_camo_flecktarn_stealth_pattern,MPUI_CAMO_FLECKTARN_STEALTH,MPUI_CAMO_FLECKTARN_STEALTH,,0,,,,,,0,,,0,loot,,,
52,camo,weaponoption,MPUI_CAMO_FLECKTARN_EMISSIVE,camo_loot_flecktarn_emissive,,menu_camo_flecktarn_emissive_pattern,MPUI_CAMO_FLECKTARN_EMISSIVE,MPUI_CAMO_FLECKTARN_EMISSIVE,,0,,,,,,0,,,0,loot,,,
53,camo,weaponoption,MPUI_CAMO_FLECKTARN_SHINY,camo_loot_flecktarn_shiny,,menu_camo_flecktarn_shiny_pattern,MPUI_CAMO_FLECKTARN_SHINY,MPUI_CAMO_FLECKTARN_SHINY,,0,,,,,,0,,,0,loot,,,
54,camo,weaponoption,MPUI_CAMO_SNOWBLO_GREEN,camo_loot_snowblo_green,,menu_camo_snowblo_green_pattern,MPUI_CAMO_SNOWBLO_GREEN,MPUI_CAMO_SNOWBLO_GREEN,,0,,,,,,0,,,0,loot,,,
55,camo,weaponoption,MPUI_CAMO_DANTE_CRAZY,camo_loot_dante_crazy,,menu_camo_dante_crazy_pattern,MPUI_CAMO_DANTE_CRAZY,MPUI_CAMO_DANTE_CRAZY,,0,,,,,,0,,,0,loot,,,
56,camo,weaponoption,MPUI_CAMO_DANTE_HALLUCINATION,camo_loot_dante_hallucination,,menu_camo_dante_hallucination_pattern,MPUI_CAMO_DANTE_HALLUCINATION,MPUI_CAMO_DANTE_HALLUCINATION,,0,,,,,,0,,,0,loot,,,
57,camo,weaponoption,MPUI_CAMO_DANTE_EMISSIVE,camo_loot_dante_emissive,,menu_camo_dante_emissive_pattern,MPUI_CAMO_DANTE_EMISSIVE,MPUI_CAMO_DANTE_EMISSIVE,,0,,,,,,0,,,0,loot,,,
58,camo,weaponoption,MPUI_CAMO_INTEGER_PURPLE,camo_loot_integer_purple,,menu_camo_integer_purple_pattern,MPUI_CAMO_INTEGER_PURPLE,MPUI_CAMO_INTEGER_PURPLE,,0,,,,,,0,,,0,loot,,,
59,camo,weaponoption,MPUI_CAMO_INTEGER_EMISSIVE,camo_loot_integer_emissive,,menu_camo_integer_emissive_pattern,MPUI_CAMO_INTEGER_EMISSIVE,MPUI_CAMO_INTEGER_EMISSIVE,,0,,,,,,0,,,0,loot,,,
60,camo,weaponoption,MPUI_CAMO_ARDENT_EMISSIVE,camo_loot_ardent_emissive,,menu_camo_ardent_emissive_pattern,MPUI_CAMO_ARDENT_EMISSIVE,MPUI_CAMO_ARDENT_EMISSIVE,,0,,,,,,0,,,0,loot,,,
61,camo,weaponoption,MPUI_CAMO_BURNT_SHINY,camo_loot_burnt_shiny,,menu_camo_burnt_shiny_pattern,MPUI_CAMO_BURNT_SHINY,MPUI_CAMO_BURNT_SHINY,,0,,,,,,0,,,0,loot,,,
62,camo,weaponoption,MPUI_CAMO_ARTOFWAR_GOLDINK,camo_loot_artofwar_goldink,,menu_camo_artofwar_goldink_pattern,MPUI_CAMO_ARTOFWAR_GOLDINK,MPUI_CAMO_ARTOFWAR_GOLDINK,,0,,,,,,0,,,0,loot,,,
63,camo,weaponoption,MPUI_CAMO_ARTOFWAR_GEM,camo_loot_artofwar_gem,,menu_camo_artofwar_gem_pattern,MPUI_CAMO_ARTOFWAR_GEM,MPUI_CAMO_ARTOFWAR_GEM,,0,,,,,,0,,,0,loot,,,
64,camo,weaponoption,MPUI_CAMO_ARTOFWAR_ANIMATION,camo_loot_artofwar_animation,,menu_camo_artofwar_animation_pattern,MPUI_CAMO_ARTOFWAR_ANIMATION,MPUI_CAMO_ARTOFWAR_ANIMATION,,0,,,,,,0,,,0,loot,,,
